,Timestamp,Wat is je vooropleiding?,Waar woon je nu?,"Ik heb voor deze studie gekozen, omdat...",Kies de TV-/internetserie die jou het meest aanspreekt.,Kies de hobby die jou het meest aanspreekt.,Star...?,Hoe zou jij HBO-ICT het liefst willen toepassen?,Kies de computergame die jou het meest aanspreekt.,Kies de superheld die jou het meest aanspreekt.,"Als je een huisdier zou mogen kiezen, welke zou dat dan zijn?",Kies het Operating System dat jou het meest aanspreekt.,Ik had mijn huiswerk goed voorbereid.,Als je voor opdracht A hebt gekozen: Had je pen en papier meegenomen?,Welke opdracht heb je gekozen? ,Ik denk dat ik Python vaak zou willen gebruiken.,Ik vond de opdrachten onnodig complex.,Ik vond Python makkelijk te programmeren,Ik denk dat ik veel hulp van een docent/studentassistent nodig zal hebben als ik Python ga programmeren.,De opdrachten vertoonden veel samenhang.,De opdrachten waren inconsistent.,Ik kan me voorstellen dat de meeste mensen snel leren programmeren in Python ,Ik vond de opdrachten erg lastig,Ik voelde me erg zelfverzekerd tijdens het maken van de opdrachten,Ik moest eerst veel leren voordat ik de opdrachten kon maken.
0,4/7/2015 14:01:29,MBO,Utrecht,...deze mij het meest werd geadviseerd.,Game of Thrones,Actieve sport,Stark Industries,Een vernieuwingsproces analyseren op overbodige of dubbele processen om de marktintroductietijd (tijd om een product te maken en in de markt te zetten) van een product te verkleinen.,World of Warcraft / League of Legends,Deadpool,Hond,OS X,4,Ja,Opdracht A,3,3,1,4,4,3,2,5,2,5
1,4/7/2015 14:16:13,Havo,Noord-Brabant,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,Actieve sport,Starbucks,Een vernieuwingsproces analyseren op overbodige of dubbele processen om de marktintroductietijd (tijd om een product te maken en in de markt te zetten) van een product te verkleinen.,World of Warcraft / League of Legends,Superman,Hond,Windows,3,Nee,Opdracht A,4,1,4,2,4,2,4,2,4,3
2,4/7/2015 14:17:16,MBO,Gelderland,...deze mij het leukst leek.,Naruto,Gamen,Star Wars,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,World of Warcraft / League of Legends,Deadpool,Mewtwo,Windows,5,Ik heb niet voor opdracht A gekozen,Opdracht D,4,2,4,4,2,2,3,3,4,2
3,4/7/2015 14:17:26,Havo,Noord-Holland,...deze mij het makkelijkst leek (ik ben goed met computers).,The Big Bang Theory,Gamen,Stark Industries,Drones over een rampgebied laten vliegen om te helpen bij het opsporen van vermiste personen.,Call of Duty / Battlefield,Deadpool,Mewtwo,Windows,5,Nee,Opdracht B,4,3,4,2,4,3,4,1,5,3
4,4/7/2015 14:19:42,Ik heb de 21+ toets gedaan,Noord-Holland,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,Actieve sport,Stark Industries,Data over reisvluchten en koopgedrag op een luchthaven verzamelen en analyseren om het productaanbod beter te laten aansluiten op reizigers.,Grand Theft Auto,Deadpool,Hond,Windows,4,Ja,Opdracht A,5,2,4,2,5,2,5,2,4,2
5,4/7/2015 14:20:27,MBO,Utrecht,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,Actieve sport,Stark Industries,Een vernieuwingsproces analyseren op overbodige of dubbele processen om de marktintroductietijd (tijd om een product te maken en in de markt te zetten) van een product te verkleinen.,Pokémon,Iron man,Mewtwo,Linux,4,Ja,Opdracht A,2,2,3,3,4,4,4,2,3,2
6,4/7/2015 14:20:45,VWO,Gelderland,...deze mij het leukst leek.,Game of Thrones,Actieve sport,Star Wars,Data over reisvluchten en koopgedrag op een luchthaven verzamelen en analyseren om het productaanbod beter te laten aansluiten op reizigers.,Grand Theft Auto,Iron man,Hond,Windows,4,Ik heb niet voor opdracht A gekozen,Opdracht B,4,3,4,3,5,2,5,3,3,4
7,4/7/2015 14:21:27,VWO,Utrecht,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,Actieve sport,Star Trek,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Call of Duty / Battlefield,Batman,Hond,Linux,5,Ik heb niet voor opdracht A gekozen,Opdracht D,5,1,5,2,4,5,5,1,5,1
8,4/7/2015 14:21:44,Havo,Gelderland,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,Actieve sport,Starbucks,"Het combineren van 112 Alarmeringen, Twitter, Instagram en andere sociale media om snel een beeld te krijgen van de situatie ter plaatse.",Grand Theft Auto,Batman,Hond,Windows,4,Ik heb niet voor opdracht A gekozen,Opdracht D,2,3,2,4,4,2,2,4,3,4
9,4/7/2015 14:21:47,Havo,Utrecht,...deze mij het leukst leek.,The Big Bang Theory,Gamen,Stark Industries,"Het combineren van 112 Alarmeringen, Twitter, Instagram en andere sociale media om snel een beeld te krijgen van de situatie ter plaatse.",Grand Theft Auto,Iron man,Mewtwo,OS X,4,Ik heb niet voor opdracht A gekozen,Opdracht D,4,2,4,3,3,2,4,2,4,3
